key,Location,date,humidity,temperature
-N5KtMeMQY4ek1Now4xI,Casa1DHT,1656077253.02907,51.00,23.00
-N5L-EK82Z9TB1f1-EXq,Casa1DHT,1656079053.024156,51.00,23.00
-N5L66MPAE2cWg5TABm0,Casa1DHT,1656080853.014616,52.00,22.70
-N5LCyDNIJxV58PIcw_n,Casa1DHT,1656082653.003714,55.00,22.40
-N5LJqFqqLEMHOsatW3t,Casa1DHT,1656084452.992415,55.00,22.50
-N5LQi8wlXY5odKJw724,Casa1DHT,1656086252.980864,54.00,22.40
-N5LXZO5m0URXNsXjAe6,Casa1DHT,1656088052.970633,54.00,22.60
-N5LdQqeJvpMh-tCmx4S,Casa1DHT,1656089852.963942,55.00,22.50
-N5LkIHuY-qh30Ac51Ix,Casa1DHT,1656091652.954395,54.00,22.50
-N5Lr9keIq1x2OE7e5TS,Casa1DHT,1656093452.945472,55.00,22.50
-N5Ly1ECH0nWu4nsJHLq,Casa1DHT,1656095252.938964,54.00,22.50
-N5M3tdkf5UNYDHUQ9_H,Casa1DHT,1656097052.933832,53.00,22.40
-N5MAl5krVzF-X0PJjRo,Casa1DHT,1656098852.914016,55.00,22.40
-N5MHcYahNNvbItlLyPI,Casa1DHT,1656100652.908299,56.00,22.40
-N5MOV-e6ZauIS_0t_cn,Casa1DHT,1656102452.898579,55.00,22.40
-N5MVMS57nsy4uCYvOW9,Casa1DHT,1656104252.88677,52.00,22.20
-N5MbDuLtivoDhpF88Q2,Casa1DHT,1656106052.879634,54.00,22.40
-N5Mi5MQGRxTjDqOf0Wu,Casa1DHT,1656107852.868369,54.00,22.40
-N5Moxnvk7spOx4m1OBT,Casa1DHT,1656109652.85471,54.00,22.40
-N5MvpFik1Fb1IYqRwF2,Casa1DHT,1656111452.853131,54.00,22.40
-N5N1ghkNmdpRM_HW8K8,Casa1DHT,1656113252.837855,54.00,22.40
-N5N8Z947Dc2GLvF-csV,Casa1DHT,1656115052.820717,54.00,22.30
-N5NFQb4-HFqDDPwt7LB,Casa1DHT,1656116852.809136,54.00,22.30
-N5NMI3KPtTS9Ua7d3qK,Casa1DHT,1656118652.801486,54.00,22.30
-N5NT9W4z89hB4LBCRNN,Casa1DHT,1656120452.798084,54.00,22.30
-N5eXrGr6DeopMSiD3SY,Casa1DHT,1656423674.667572,50.00,23.00
-N5ediiSwUyMIk_jrvDU,Casa1DHT,1656425474.66332,50.00,23.00
-N5ekaAbkfEQT6eFrqTk,Casa1DHT,1656427274.663563,51.00,22.60
-N5erSbrnfDtk_E7z6HL,Casa1DHT,1656429074.640151,51.00,22.70
-N5eyK4N90uVIuX_VUWH,Casa1DHT,1656430874.62704,51.00,22.80
-N5f4BXHext5eA1EQm2b,Casa1DHT,1656432674.616282,51.00,22.80
-N5fB2yKkeUyoZUzbI05,Casa1DHT,1656434474.606426,51.00,22.90
-N5fHvQPKGgYw-C335UX,Casa1DHT,1656436274.59838,51.00,22.80
-N5fOms1se0troJj6659,Casa1DHT,1656438074.593686,52.00,22.90
-N5fVeKgTCJ1-IRQ3TTD,Casa1DHT,1656439874.576671,52.00,22.90
-N5fbWm9SZbl0p4HoIBD,Casa1DHT,1656441674.570082,52.00,22.90
-N5fiOE1d9t_9NcfApR9,Casa1DHT,1656443474.563914,53.00,22.90
-N5fpFfPl0BmRE-URayA,Casa1DHT,1656445274.559436,53.00,22.90
-N5fw77gyJl9RU2GaNmn,Casa1DHT,1656447074.542895,53.00,22.90
-N5g1z_J0hqPRK41Zkv8,Casa1DHT,1656448874.529778,53.00,22.80
-N5g8r12E5zI29gd3--B,Casa1DHT,1656450674.520288,53.00,22.90
-N5gFiTew8QDSvLAo9cP,Casa1DHT,1656452474.513803,52.00,22.90
-N5gM_wHtpOUMtaIL2_o,Casa1DHT,1656454274.50098,52.00,22.90
-N5gTSNkHzVRxidQKhoq,Casa1DHT,1656456074.495482,52.00,22.90
-N5g_JqERERnN6A_VBjd,Casa1DHT,1656457874.480453,52.00,22.80
-N5ggBraS6Q_p9OBakUl,Casa1DHT,1656459674.468904,51.00,22.80
-N5gn3JhqBoDvjdawlXd,Casa1DHT,1656461474.462704,51.00,22.80
-N5gtvzu1Rd8HPcp86WS,Casa1DHT,1656463274.455471,51.00,22.70
-N5h-nqkYCgqiRUXreDE,Casa1DHT,1656465074.447428,51.00,22.70
-N5h6e5iMkxcGqNFKsVj,Casa1DHT,1656466874.436485,51.00,22.70
-N5hDWYKaUL8a8rQpiIo,Casa1DHT,1656468674.423125,51.00,22.70
-N5hKO-I3IXlGTdK-7ov,Casa1DHT,1656470474.410968,50.00,22.60
-N5hRFSKUf42Vr5SEIQ1,Casa1DHT,1656472274.40826,50.00,22.60
-N5hY6u1NLaQd2KMUTJ_,Casa1DHT,1656474074.395211,50.00,22.60
-N5hdzLzMTU-BlStPOuY,Casa1DHT,1656475874.387736,50.00,22.60
-N5hkqoJ3OvG9bUZrGof,Casa1DHT,1656477674.381862,50.00,22.60
-N5hriFWJZytZaTIeiDa,Casa1DHT,1656479474.370286,49.00,22.50
-N5hy_hFgWlwGcRaZsDn,Casa1DHT,1656481274.360346,49.00,22.50
-N5i4S9X7R2p-9cKdPlV,Casa1DHT,1656483074.349446,49.00,22.50
-N5iBJbNugHyNFXAUjX_,Casa1DHT,1656484874.342296,49.00,22.50
-N5iIB3e88RPEm1u3TQJ,Casa1DHT,1656486674.333071,49.00,22.50
-N5iP2W8kPaEzpbYmDnc,Casa1DHT,1656488474.325509,49.00,22.50
-N5iVuxZJK1pqpi6A24v,Casa1DHT,1656490274.314336,49.00,22.50
-N5ibmQAQAzNfuDmHepa,Casa1DHT,1656492074.304953,49.00,22.50
-N5iidrjiCQb2KUvWndW,Casa1DHT,1656493874.294365,50.00,22.50
-N5ipWKD_SzT2E1h09ln,Casa1DHT,1656495674.285937,50.00,22.50
-N5iwNl-_DflNLdrjxQ4,Casa1DHT,1656497474.278522,50.00,22.50
-N5j2FD34WgcsfL5bh2Q,Casa1DHT,1656499274.269386,50.00,22.50
-N5j96evN2Q0u9dtDBZq,Casa1DHT,1656501074.254147,50.00,22.50
-N5jFz70JuLKN_2E4vx9,Casa1DHT,1656502874.243274,52.00,22.50
